Study_Hours,Attendance,Assignments_Completed,Internal_Marks,Result
2.45,93.25,8,33.0,1
9.37,80.04,3,14.37,1
8.27,85.04,0,17.13,1
6.7,64.26,9,11.65,1
8.84,81.54,0,42.37,1
8.23,72.78,0,32.07,1
2.68,74.1,0,22.67,0
9.03,87.89,3,15.05,1
5.85,64.1,0,29.36,0
8.27,65.9,1,31.01,1
9.06,96.23,3,38.08,1
3.86,52.81,6,48.8,0
1.99,74.28,1,27.4,0
3.05,95.64,7,26.24,1
4.84,80.52,6,24.8,1
8.36,77.32,8,43.08,1
8.75,62.49,5,16.25,1
1.06,67.16,3,23.75,0
5.6,92.6,5,39.0,1
4.76,77.96,3,10.63,0
3.0,75.74,6,21.58,0
2.08,54.98,8,35.66,0
4.04,50.8,2,17.44,0
9.49,98.18,2,22.11,1
3.91,68.85,1,29.44,0
5.67,80.16,0,26.88,0
7.33,53.99,0,14.24,0
4.27,84.16,2,47.53,1
9.75,96.63,6,11.77,1
9.66,78.78,8,39.99,1
3.27,56.31,1,12.86,0
5.48,79.09,6,28.69,1
3.71,88.32,0,17.02,0
3.56,70.32,1,15.64,0
1.33,93.99,5,15.04,0
6.49,82.43,4,28.11,1
5.52,94.96,7,30.62,1
1.46,81.18,1,15.34,0
3.51,56.56,0,49.18,0
9.17,65.48,6,20.31,1
3.16,60.09,5,28.35,0
2.3,95.44,7,18.65,1
5.41,88.02,7,29.76,1
9.87,83.82,1,40.24,1
3.18,65.05,7,30.84,0
7.05,59.2,5,21.43,1
7.85,87.82,8,19.94,1
3.14,73.71,6,40.36,1
7.55,61.29,1,14.73,1
4.31,80.83,7,24.8,1
6.69,52.02,8,16.06,1
6.7,66.31,6,20.32,1
5.82,73.43,3,16.11,1
1.81,57.4,8,45.47,0
8.52,99.23,3,39.28,1
3.89,60.45,3,32.44,0
2.68,56.52,8,18.98,0
1.37,60.18,7,30.41,0
6.32,88.45,3,30.83,1
7.1,71.28,7,33.62,1
1.15,78.27,7,12.4,0
5.61,51.05,6,48.92,1
3.04,51.72,9,28.62,0
6.81,72.29,5,47.06,1
2.57,90.83,7,10.39,1
7.22,94.26,6,19.9,1
4.48,54.34,4,14.16,0
9.43,76.92,3,40.78,1
2.24,95.66,1,22.81,0
4.07,69.4,7,43.62,1
2.02,91.48,8,43.3,1
9.32,56.68,3,36.71,1
8.9,96.77,3,36.63,1
3.32,87.57,4,38.01,1
6.94,97.07,1,36.95,1
8.35,83.83,6,25.48,1
6.0,68.17,4,37.31,1
5.77,96.91,5,45.9,1
3.18,63.78,3,23.3,0
1.84,66.61,7,47.8,0
9.07,85.04,7,10.54,1
9.1,88.27,4,23.96,1
6.7,96.47,5,15.28,1
4.05,60.24,2,15.06,0
4.14,89.9,0,42.62,0
7.53,86.93,8,46.73,1
9.07,53.19,8,41.11,1
8.98,69.36,2,49.06,1
8.02,64.14,3,18.65,1
6.78,65.22,6,15.63,1
1.76,99.15,1,30.83,0
2.45,82.14,2,43.16,0
9.09,85.88,5,11.59,1
6.46,98.83,7,49.82,1
1.08,68.86,0,34.09,0
1.91,90.09,3,49.16,0
6.97,71.73,0,24.6,1
1.05,93.48,1,28.32,0
2.45,59.03,7,40.09,0
5.94,97.38,5,41.71,1
7.23,60.94,8,19.32,1
6.87,66.31,1,47.19,1
3.02,87.81,2,44.7,0
7.41,69.69,8,10.73,1
3.14,80.41,8,15.14,1
3.93,72.23,5,29.84,1
7.72,87.12,2,28.44,1
6.85,61.42,4,38.34,1
8.64,52.92,1,13.59,1
6.92,65.0,6,35.79,1
6.11,73.72,9,34.65,1
1.84,58.4,7,19.34,0
4.31,67.74,5,31.7,1
3.39,70.0,7,18.89,1
3.2,52.87,1,15.88,0
9.76,79.17,2,32.93,1
4.54,94.22,6,49.1,1
9.03,57.59,9,19.48,1
6.68,79.89,0,24.21,1
8.15,83.24,6,20.26,1
5.52,70.97,5,20.66,1
6.19,85.05,7,26.17,1
5.43,70.54,6,38.07,1
2.76,75.23,3,11.55,0
7.5,50.37,2,48.28,1
3.53,84.59,2,11.85,0
1.22,83.07,3,45.25,0
6.81,51.92,8,45.78,1
2.59,68.41,8,30.98,0
9.46,98.95,1,15.48,1
9.59,71.04,4,32.61,1
9.23,75.1,0,35.15,1
4.33,95.5,3,44.31,1
1.14,85.86,1,32.04,0
9.35,79.1,7,26.43,1
4.85,89.89,3,43.53,1
9.7,93.22,4,49.24,1
9.67,72.84,3,35.8,1
8.68,73.76,4,44.98,1
3.65,69.3,4,33.95,0
4.47,98.34,4,37.59,1
8.66,84.86,2,37.53,1
3.85,54.16,6,38.19,0
2.53,93.15,2,22.84,0
6.01,74.03,1,33.03,1
9.43,53.44,2,33.77,1
7.26,77.49,2,22.6,1
6.13,70.86,7,23.99,1
1.87,93.89,3,40.49,0
6.54,60.2,2,33.31,1
9.91,91.32,9,15.97,1
2.26,77.88,4,43.51,0
5.66,52.73,3,45.32,0
8.9,98.59,8,28.65,1
7.67,75.63,7,18.36,1
7.27,64.54,6,47.9,1
7.32,73.47,7,45.29,1
4.24,92.89,4,19.78,1
3.64,65.25,3,13.82,0
8.28,59.63,6,27.63,1
8.29,56.45,0,37.06,1
8.8,64.89,5,17.02,1
9.22,89.0,7,30.53,1
5.6,73.58,6,27.02,1
5.51,61.37,1,45.62,0
8.18,58.31,6,27.18,1
6.85,66.64,5,31.35,1
7.32,97.0,4,48.21,1
8.16,67.15,3,21.99,1
9.01,99.41,0,21.56,1
4.04,74.26,1,41.98,0
4.38,58.96,6,21.1,0
1.85,94.56,9,43.27,1
6.2,73.02,2,13.82,1
1.32,85.48,4,14.45,0
5.19,99.19,7,46.05,1
5.88,52.51,7,31.63,1
3.58,54.83,5,38.75,0
6.32,86.02,4,19.01,1
1.27,64.09,1,16.65,0
1.34,59.22,8,43.4,0
8.4,51.97,0,24.34,1
4.24,51.09,1,28.2,0
2.14,88.72,0,11.12,0
5.7,56.72,3,25.44,0
7.93,73.39,3,40.82,1
2.94,80.29,4,42.85,0
6.61,71.42,4,37.95,1
1.77,51.36,7,37.69,0
1.47,89.18,2,30.25,0
5.78,50.53,5,31.53,1
5.87,88.09,2,39.71,1
6.74,94.67,1,19.89,1
7.53,71.64,7,19.26,1
9.78,76.78,0,48.0,1
5.65,73.85,8,11.11,1
3.91,69.46,6,15.58,1
8.16,94.37,9,32.81,1
3.44,94.7,3,39.51,1
4.95,66.79,2,31.52,0
1.71,80.75,5,24.2,0
1.23,96.35,8,49.12,1
9.66,98.1,8,38.15,1
8.52,75.45,3,43.26,1
7.26,72.64,9,11.61,1
4.68,63.93,4,19.44,0
2.56,97.94,8,24.97,1
2.41,57.14,1,17.3,0
3.25,78.99,1,12.92,0
5.94,64.13,4,19.0,1
7.43,63.95,0,31.35,1
6.94,70.25,7,37.83,1
3.52,99.94,4,40.96,1
9.59,52.75,9,11.72,1
7.64,78.93,1,27.12,1
5.99,54.13,8,14.89,1
6.51,57.73,1,27.25,0
4.78,71.98,6,27.36,1
3.23,75.52,7,29.93,1
4.2,62.94,5,45.71,1
7.82,65.82,6,42.2,1
1.13,54.35,0,35.47,0
2.04,65.16,3,45.42,0
1.41,98.33,6,37.14,1
1.37,97.24,0,42.75,0
8.7,66.74,0,32.55,1
7.33,78.54,5,31.01,1
5.27,95.48,3,38.96,1
1.88,50.31,2,10.79,0
5.42,90.53,4,37.62,1
5.26,97.42,8,47.38,1
2.56,54.57,9,38.56,0
4.9,58.07,9,11.47,1
4.59,98.04,9,25.12,1
6.54,76.88,2,42.38,1
6.72,50.71,4,48.34,1
1.41,62.88,9,24.81,0
4.37,72.5,4,43.65,1
6.63,84.65,8,44.55,1
5.53,86.66,9,14.93,1
8.71,99.77,3,43.83,1
6.93,64.38,0,22.97,0
2.47,76.91,9,33.73,1
1.64,76.67,4,31.56,0
6.78,70.28,0,36.52,1
1.24,58.46,5,39.62,0
6.27,98.87,9,27.64,1
9.46,92.67,9,45.53,1
6.18,74.92,6,42.38,1
4.49,80.16,0,41.42,0
6.79,61.36,9,28.33,1
5.12,77.19,3,11.5,1
5.91,84.75,8,29.69,1
9.47,75.76,0,45.94,1
4.47,99.51,8,17.62,1
9.65,80.57,7,49.3,1
9.15,68.55,4,42.31,1
2.76,88.61,5,38.39,1
1.62,58.52,6,37.09,0
1.91,69.23,3,33.48,0
1.16,67.35,5,38.83,0
1.85,71.59,6,26.88,0
7.15,89.09,5,43.81,1
1.64,74.21,5,37.85,0
3.87,89.7,1,40.85,0
8.6,78.82,4,41.7,1
1.21,67.1,2,13.68,0
8.33,90.5,6,12.23,1
3.54,61.91,3,42.04,0
2.06,61.22,0,20.38,0
7.27,75.23,5,33.28,1
6.66,63.04,5,27.75,1
8.9,50.45,6,10.88,1
7.62,82.41,7,11.61,1
8.23,75.55,2,43.09,1
3.54,72.28,5,34.31,0
2.6,98.35,9,30.95,1
7.76,78.56,1,47.77,1
8.26,93.17,8,16.92,1
9.91,56.97,1,20.32,1
4.71,78.46,2,40.27,1
4.35,93.4,9,41.01,1
7.99,79.16,1,26.2,1
4.07,85.9,8,48.04,1
9.38,68.6,0,47.53,1
8.73,54.62,4,10.5,1
4.86,72.9,0,16.89,0
7.76,69.72,4,42.81,1
7.79,93.35,7,23.41,1
1.93,62.2,7,13.82,0
9.12,98.34,7,41.4,1
5.55,97.91,1,28.18,1
8.44,62.38,7,29.7,1
3.88,67.4,4,17.45,0
9.06,94.78,0,36.44,1
4.5,98.33,6,32.05,1
1.1,72.17,5,18.27,0
9.15,66.05,4,23.61,1
1.82,76.3,0,33.88,0
3.87,84.39,0,46.99,0
9.55,63.67,5,46.82,1
9.56,86.82,9,21.52,1
6.16,52.58,6,39.42,1
6.69,52.46,9,41.02,1
5.04,69.31,9,42.35,1
3.64,67.67,0,32.83,0
3.96,65.78,8,10.42,1
7.05,74.55,3,40.47,1
7.77,66.04,4,14.26,1
8.12,59.61,1,14.67,1
8.11,65.47,9,34.22,1
1.82,98.75,7,49.34,1
5.45,70.56,1,19.7,0
1.52,72.24,2,35.83,0
5.95,78.83,8,22.15,1
4.97,99.17,1,45.95,1
8.99,62.08,5,33.74,1
4.16,84.06,3,18.3,0
2.05,85.8,6,20.49,0
2.29,80.37,5,27.3,0
7.85,54.43,9,14.88,1
6.56,83.84,8,13.15,1
1.91,53.2,8,37.2,0
1.76,79.81,9,26.29,1
7.31,86.98,3,39.05,1
1.65,60.55,0,14.4,0
8.4,92.08,1,34.39,1
7.36,51.52,7,27.73,1
1.73,92.19,9,12.32,1
1.76,73.02,7,31.79,0
9.88,60.88,1,13.31,1
4.37,56.69,3,43.11,0
4.34,97.67,0,35.28,1
8.32,53.63,6,32.28,1
9.53,59.95,3,15.34,1
9.87,67.39,7,21.5,1
7.78,81.01,8,29.72,1
4.39,77.24,8,35.33,1
1.75,56.28,2,17.33,0
7.99,64.49,4,10.35,1
6.03,61.94,5,23.79,1
4.82,60.68,5,29.31,1
9.16,70.56,9,17.38,1
2.0,85.2,7,29.69,1
5.43,60.87,5,23.54,1
1.1,68.33,5,28.2,0
5.22,69.55,3,23.9,1
1.51,98.82,6,35.14,1
2.07,97.73,7,11.72,1
2.06,90.01,2,16.84,0
6.84,62.08,6,27.31,1
7.71,53.4,2,24.25,1
6.25,65.85,7,25.67,1
9.66,63.34,0,42.15,1
4.37,75.3,0,45.45,0
3.57,88.89,5,19.95,1
8.82,92.92,9,43.46,1
3.01,92.24,8,28.35,1
9.67,67.98,3,20.95,1
1.11,84.36,5,49.42,0
9.73,65.64,4,42.99,1
1.39,53.05,0,49.77,0
9.02,85.08,5,16.73,1
5.75,50.49,8,15.75,1
9.94,70.46,2,30.14,1
1.66,66.47,2,35.55,0
5.98,84.67,1,16.84,1
9.72,88.31,3,44.42,1
5.71,65.2,9,31.28,1
6.66,90.58,2,26.44,1
7.26,64.7,1,34.08,1
5.09,72.32,0,35.4,0
6.65,86.35,2,11.71,1
6.26,84.65,9,50.0,1
9.11,99.37,5,24.56,1
1.41,61.26,8,12.46,0
3.53,83.12,4,44.09,1
9.55,80.48,2,49.72,1
9.01,95.75,4,42.65,1
5.1,57.82,4,44.08,1
6.58,87.59,4,35.04,1
3.5,78.41,6,46.89,1
2.69,63.73,4,11.43,0
5.17,73.72,6,40.67,1
4.18,66.69,8,36.83,1
6.25,78.97,4,11.98,1
1.7,94.45,1,31.76,0
9.77,78.47,4,30.6,1
9.88,81.59,7,37.66,1
7.28,75.94,3,13.1,1
5.82,52.56,1,42.21,0
3.79,61.64,9,15.58,1
8.32,74.6,2,26.75,1
7.16,65.51,8,45.25,1
2.46,59.09,8,32.42,0
9.2,75.21,7,25.18,1
8.4,66.14,7,11.93,1
9.55,62.91,7,36.89,1
7.53,73.2,7,49.46,1
6.52,56.66,7,46.47,1
4.76,96.39,0,38.69,1
9.39,93.39,5,14.21,1
8.79,85.38,8,19.58,1
1.41,55.31,7,17.47,0
1.24,88.79,2,24.22,0
4.39,90.4,0,19.42,0
8.29,88.39,1,19.78,1
9.89,55.7,1,34.67,1
2.35,82.2,6,22.75,0
6.35,91.72,5,37.09,1
4.43,78.87,1,47.92,0
9.73,82.32,7,35.54,1
8.58,72.92,8,40.07,1
8.54,76.44,6,40.06,1
5.22,51.72,3,23.23,0
4.73,81.95,0,10.6,0
3.46,54.07,3,12.2,0
1.51,71.75,3,21.28,0
8.78,64.63,7,37.58,1
8.32,77.27,3,46.27,1
10.0,56.67,3,48.35,1
9.97,84.58,1,11.03,1
6.0,89.75,9,49.6,1
7.92,58.17,6,22.9,1
9.5,55.22,3,43.72,1
8.65,57.28,5,17.21,1
3.23,93.86,2,12.52,0
5.05,76.41,6,25.13,1
2.16,73.36,5,44.36,0
9.59,55.34,2,18.83,1
6.46,82.48,3,16.16,1
3.06,93.4,9,46.39,1
7.05,91.41,4,47.53,1
6.56,81.3,8,10.5,1
4.22,53.76,5,39.1,0
2.02,55.62,3,22.37,0
7.04,52.47,6,24.99,1
5.68,62.87,1,28.76,0
7.95,56.78,3,27.07,1
5.68,63.0,4,30.6,1
8.67,69.25,3,33.29,1
5.97,97.15,3,28.62,1
6.05,80.52,8,38.06,1
8.89,91.75,1,38.74,1
4.63,85.52,5,27.61,1
2.21,55.63,7,15.7,0
1.26,86.8,7,35.63,0
7.8,63.75,6,40.92,1
6.58,81.96,9,35.52,1
7.34,67.05,3,33.52,1
2.92,99.88,6,19.18,1
2.23,63.18,9,35.81,0
1.13,63.96,5,23.39,0
4.16,96.53,5,46.78,1
6.31,51.23,1,36.15,0
4.53,84.83,7,21.13,1
4.94,86.27,7,28.92,1
9.14,91.82,6,43.86,1
4.13,98.72,8,23.42,1
5.63,98.78,7,31.02,1
8.05,53.26,8,37.19,1
4.57,91.09,8,40.18,1
6.6,82.32,5,16.96,1
8.76,82.37,1,32.61,1
9.55,56.42,6,46.49,1
2.32,82.51,2,48.73,0
9.34,99.12,6,36.25,1
5.43,95.59,8,49.35,1
3.32,71.96,9,32.83,1
5.13,52.0,9,27.7,1
9.82,68.11,1,32.06,1
5.43,91.32,5,14.63,1
3.96,85.07,5,26.07,1
6.7,72.97,8,28.34,1
3.16,52.76,8,43.95,0
1.68,71.34,4,40.35,0
2.16,73.45,4,34.06,0
2.15,96.43,8,23.89,1
2.37,82.05,7,17.48,0
2.25,65.58,6,23.91,0
6.77,76.27,7,37.19,1
2.64,53.3,5,20.52,0
4.11,98.63,2,27.08,1
9.07,68.0,6,25.47,1
5.27,73.89,7,40.62,1
7.01,67.76,7,45.35,1
2.55,84.13,0,37.97,0
2.73,83.11,6,23.66,1
1.37,85.77,2,27.33,0
2.52,63.41,1,15.73,0
3.51,65.78,1,16.72,0
2.59,56.26,7,16.57,0
1.8,82.78,8,15.22,0
2.09,51.99,2,17.18,0
5.15,79.88,2,18.11,1
2.86,93.48,5,14.47,1
4.28,94.54,9,35.61,1
5.53,72.45,0,49.62,0
7.21,72.97,5,45.17,1
1.35,53.85,2,11.82,0
8.19,83.54,3,26.92,1
6.65,91.06,8,44.37,1
1.74,62.23,2,15.39,0
8.86,71.07,0,43.91,1
9.29,91.94,2,33.71,1
1.55,93.86,6,47.25,1
3.49,62.16,6,45.04,0
8.26,77.53,4,37.08,1
7.73,59.62,0,36.31,1
2.66,55.09,7,18.53,0
2.88,95.56,9,14.67,1
4.33,91.03,7,26.62,1
5.36,88.0,9,17.46,1
6.56,52.44,9,14.1,1
4.32,92.19,9,22.09,1
5.16,71.9,1,44.42,0
7.73,67.12,9,10.69,1
1.33,77.32,2,21.71,0
3.27,54.57,3,26.96,0
7.42,87.83,0,30.42,1
9.06,79.12,3,17.26,1
5.61,59.33,4,48.57,1
5.79,59.41,2,33.15,0
1.96,59.21,9,30.88,0
5.03,52.85,1,10.35,0
5.79,79.39,5,29.43,1
3.18,92.02,7,43.51,1
3.42,50.87,6,18.79,0
4.4,52.45,0,24.05,0
1.18,78.64,3,10.82,0
3.9,90.97,2,49.08,1
2.9,66.34,5,12.67,0
3.95,67.48,8,45.93,1
2.08,79.82,8,22.52,1
9.01,63.71,6,33.5,1
6.34,51.33,8,37.17,1
7.11,86.76,7,15.63,1
8.1,81.28,4,27.75,1
5.49,79.04,8,23.02,1
1.78,87.08,6,12.26,0
5.83,83.76,4,43.33,1
6.28,60.29,7,11.81,1
7.71,67.62,6,36.13,1
4.88,56.31,8,22.56,1
2.15,56.49,9,17.69,0
3.55,83.81,0,36.68,0
4.27,92.93,8,32.98,1
6.81,98.14,6,22.61,1
6.14,81.42,0,30.52,1
4.2,59.21,0,19.85,0
9.88,55.28,4,44.55,1
6.45,90.64,7,22.55,1
3.14,78.94,8,19.81,1
1.92,80.91,5,40.07,0
2.38,89.07,9,10.7,1
3.21,85.16,7,20.72,1
2.45,91.72,5,25.02,0
2.68,52.81,5,45.29,0
3.57,87.38,3,48.02,1
2.56,92.54,4,38.66,0
9.07,64.31,1,29.7,1
1.72,82.02,2,35.62,0
5.72,65.71,2,26.56,0
4.69,97.9,4,21.95,1
9.84,51.67,4,48.03,1
2.01,78.99,5,14.62,0
4.58,58.33,4,23.86,0
9.73,85.61,5,45.96,1
8.79,58.79,7,38.93,1
8.35,61.77,1,11.16,1
3.32,74.72,3,10.92,0
2.54,95.74,5,30.66,1
7.02,60.59,4,29.37,1
9.36,57.21,0,27.72,1
6.01,87.95,8,22.09,1
6.14,75.03,2,49.47,1
3.52,95.59,1,20.88,0
7.93,57.33,8,29.6,1
2.68,82.3,6,26.2,1
3.91,61.64,4,16.81,0
4.83,57.84,5,18.1,0
5.57,84.17,3,46.73,1
3.18,79.68,0,44.33,0
2.03,87.74,3,17.96,0
6.5,65.47,8,45.03,1
3.6,72.4,0,18.37,0
6.23,70.27,9,35.06,1
2.39,99.2,2,13.25,0
5.33,64.61,4,45.21,1
5.79,64.74,6,12.06,1
1.47,67.73,8,32.2,0
4.03,78.23,5,41.19,1
2.21,62.62,2,14.67,0
1.57,95.76,6,26.18,0
9.91,63.28,3,11.68,1
3.9,94.79,2,37.31,1
8.29,55.17,6,22.3,1
3.29,82.83,6,32.38,1
7.13,95.35,3,47.31,1
7.84,58.44,6,22.23,1
6.36,98.42,1,11.95,1
5.24,72.64,0,37.03,0
4.71,97.29,1,41.47,1
4.14,83.84,3,48.31,1
9.37,65.08,7,16.31,1
8.48,59.42,2,25.69,1
9.69,65.19,9,43.77,1
2.12,54.65,5,42.27,0
7.58,57.19,5,34.99,1
9.45,55.23,8,20.77,1
2.63,71.15,8,21.36,1
1.6,89.78,3,14.96,0
7.67,57.07,8,46.87,1
6.17,56.52,5,16.92,1
8.58,82.17,1,32.92,1
2.26,59.86,9,33.37,0
8.16,54.88,5,24.78,1
2.81,58.34,1,24.1,0
2.47,96.19,7,36.74,1
2.48,91.07,3,25.53,0
8.33,67.7,4,20.2,1
6.99,82.79,7,25.97,1
5.71,76.86,7,42.31,1
4.23,83.86,5,48.66,1
8.89,84.13,3,35.44,1
4.53,81.44,0,41.28,0
8.35,63.31,6,31.31,1
4.95,51.95,7,34.99,1
4.39,72.78,8,49.52,1
5.16,94.55,1,27.54,1
3.71,78.47,0,12.65,0
7.73,91.62,3,48.28,1
5.52,99.58,4,41.72,1
3.09,58.18,9,25.93,1
9.1,84.59,0,49.3,1
4.46,83.71,4,23.82,1
5.89,99.0,5,24.88,1
9.16,99.28,2,34.39,1
6.62,84.33,6,20.97,1
2.05,62.18,5,37.94,0
9.46,89.93,3,16.11,1
6.65,55.35,2,14.32,0
4.01,89.03,4,31.4,1
2.25,95.51,2,32.22,0
8.15,69.14,9,14.27,1
6.58,81.53,8,48.57,1
5.8,71.51,8,32.93,1
9.05,71.89,5,16.04,1
8.1,65.52,5,22.46,1
2.37,88.11,3,42.01,0
3.81,96.81,3,30.93,1
3.24,97.04,1,17.53,0
7.7,58.74,9,14.11,1
1.3,93.74,3,27.23,0
6.13,86.87,7,23.5,1
7.86,62.64,9,36.24,1
8.89,53.36,1,47.01,1
4.08,63.4,8,19.91,1
8.39,95.61,0,44.21,1
2.0,81.66,1,46.82,0
8.62,86.05,1,46.08,1
2.15,62.86,5,48.08,0
4.58,85.97,6,43.68,1
8.18,51.41,2,33.74,1
2.35,68.77,8,26.39,0
3.06,81.34,4,29.67,0
7.5,57.3,4,44.9,1
7.48,91.15,3,22.06,1
6.77,61.75,8,16.37,1
7.25,82.61,7,15.63,1
5.88,70.26,3,43.08,1
3.27,79.8,3,40.46,0
4.11,55.37,1,29.91,0
2.63,50.85,8,20.99,0
9.18,95.48,2,37.1,1
6.25,63.48,3,11.54,1
4.61,90.98,6,32.73,1
5.16,99.97,9,25.94,1
9.53,60.57,7,49.11,1
2.38,63.26,7,30.3,0
6.28,83.14,3,32.09,1
5.55,98.27,6,38.49,1
6.5,95.79,9,29.38,1
1.16,75.14,0,18.98,0
8.85,89.76,5,31.49,1
9.39,56.79,5,47.77,1
6.09,98.87,5,26.4,1
7.27,98.22,1,37.19,1
9.3,58.19,7,49.12,1
7.37,64.97,4,43.2,1
2.37,55.01,4,36.36,0
6.19,63.59,1,39.44,0
6.46,90.8,3,47.46,1
4.82,68.92,8,48.39,1
7.63,54.42,8,48.76,1
9.41,67.11,5,35.03,1
9.33,99.07,8,25.39,1
5.06,81.48,3,15.33,1
2.02,70.81,0,25.42,0
9.86,58.33,1,47.72,1
8.55,99.31,0,45.59,1
2.12,91.04,7,30.95,1
9.29,64.07,8,31.48,1
8.83,53.5,9,22.36,1
5.67,52.83,5,28.18,1
6.32,56.02,1,38.58,0
4.59,79.04,5,26.1,1
1.49,96.44,8,17.52,1
4.02,74.84,2,31.63,0
8.23,92.15,8,19.01,1
1.04,72.29,1,48.97,0
4.0,85.43,4,25.61,1
4.58,86.59,1,46.39,1
5.84,58.7,6,19.02,1
9.28,68.06,9,17.57,1
4.12,81.87,8,34.68,1
4.12,53.53,6,41.18,0
7.64,68.08,4,32.67,1
5.07,76.74,3,19.19,1
3.02,99.81,3,11.52,0
5.07,73.73,9,34.73,1
2.27,90.8,7,15.24,1
2.59,71.6,9,23.73,1
5.49,89.82,9,37.03,1
4.77,79.77,9,13.92,1
9.23,94.33,9,15.09,1
4.26,70.55,9,12.47,1
6.23,80.22,0,49.84,1
6.69,81.5,4,25.48,1
1.12,70.87,1,46.23,0
6.97,57.22,8,21.74,1
2.6,54.68,6,40.13,0
9.65,50.83,9,18.76,1
2.34,93.68,7,29.93,1
4.73,61.82,5,42.98,1
1.77,60.58,8,42.65,0
9.97,86.8,5,41.77,1
5.52,66.0,6,42.95,1
6.36,75.3,6,18.46,1
1.6,58.13,8,29.29,0
7.75,97.99,7,29.39,1
2.89,92.58,0,45.62,0
9.08,93.19,3,21.88,1
2.85,70.34,6,47.26,0
2.72,88.12,7,28.03,1
1.33,57.19,6,36.79,0
5.25,50.43,2,20.76,0
6.08,51.0,3,26.41,0
1.59,79.33,6,38.39,0
7.98,72.77,7,30.51,1
5.08,75.9,6,47.23,1
5.72,50.37,5,39.48,1
4.97,71.13,8,32.58,1
4.61,85.9,8,45.47,1
6.04,72.13,6,36.62,1
2.4,86.61,7,35.89,1
2.64,61.65,5,19.85,0
8.76,90.66,0,25.79,1
9.52,79.42,0,37.33,1
4.36,60.54,5,45.67,1
