Age,Annual_Income,Spending_Score,Savings,Purchase_Frequency
66,82856,75,45481,10
34,113105,9,9502,19
66,108858,34,1545,19
19,39065,76,38114,26
19,144097,99,30430,22
45,103460,35,10996,29
40,108092,1,28788,12
54,146116,40,30969,3
49,74693,64,49543,13
50,46962,22,14919,18
18,48295,60,4810,8
36,33807,64,31586,21
19,62348,93,40974,15
61,46432,72,42773,1
43,103285,11,17371,3
49,126995,14,46084,26
23,111792,60,30629,8
49,77854,30,9436,4
21,60262,35,13984,16
28,57080,85,34039,23
34,21324,37,20895,10
55,111267,5,19155,12
41,144707,83,11616,14
22,55909,78,38129,14
69,109339,26,40837,2
51,39870,62,25574,23
23,54578,4,4430,5
39,92124,89,13676,5
28,137611,42,11816,6
65,123605,89,33733,13
33,46790,18,21144,9
50,138874,40,3050,22
26,45289,72,45460,28
23,75129,39,34933,29
33,113714,14,25951,15
46,114246,32,33413,14
20,35485,51,35801,24
37,64482,38,33913,7
53,106188,97,48037,25
36,24748,23,41600,20
43,106769,63,26280,2
20,29435,15,25557,7
36,23709,97,48054,6
37,143961,25,36400,17
49,50355,17,5494,27
24,75771,97,16152,25
69,77799,66,24895,25
58,33116,78,10155,28
50,45470,53,32883,2
57,62344,51,44194,3
56,62918,39,44001,5
35,72224,51,2828,5
57,59298,70,46028,1
18,128492,6,42898,8
28,100219,67,33123,12
45,81629,7,38573,24
42,86040,51,1806,4
67,119518,72,41970,13
40,119835,42,30757,23
48,48016,64,35636,15
47,43960,15,15561,11
59,53591,29,49280,10
52,102848,33,25262,3
24,123333,94,15899,22
33,131732,27,49988,14
43,134821,36,16934,16
65,87641,29,39197,10
69,56395,38,42844,29
66,131276,57,37332,10
19,149695,97,35157,12
18,42700,27,12593,9
65,54620,55,41042,1
29,123214,33,18320,5
22,148148,68,28376,20
54,40559,86,44513,8
49,113045,66,15199,11
26,113396,10,16876,12
58,81642,5,9245,1
52,96539,74,8214,25
36,41732,97,1726,22
65,148675,38,47600,20
33,111362,13,12362,28
20,50354,31,19297,25
37,33843,47,31448,11
41,130008,88,27172,5
50,134065,52,43874,15
41,91726,56,8657,5
69,37640,15,19850,12
28,72528,29,26425,5
66,58413,8,27685,17
25,148142,5,48319,17
53,72638,29,25578,24
55,72736,47,29831,12
57,127892,68,8906,24
37,130133,76,8287,28
52,126357,45,34660,15
65,88866,2,11222,15
42,39087,27,38443,6
52,61430,95,35701,12
42,44504,36,18764,27
46,27114,36,45641,29
35,98859,26,18674,20
63,119657,43,19024,18
35,30975,27,47007,14
19,31023,69,24874,2
52,41447,20,44642,9
33,110469,11,33284,5
58,145899,74,18602,20
53,43959,38,38784,26
50,86203,6,24265,29
21,139156,72,26931,1
50,49703,23,29841,23
31,29337,47,30192,3
38,66427,90,47542,6
65,141507,46,43520,5
37,81529,12,16585,21
25,122023,90,26559,27
24,104665,13,41059,5
20,125787,62,34742,1
34,51921,82,5133,17
50,53307,89,15663,19
65,47355,97,22754,14
29,123268,60,4972,12
68,147016,43,6295,10
39,24835,76,47681,20
39,40159,68,42873,21
63,124346,5,30125,18
47,67605,37,41996,24
55,141790,72,10903,27
55,125616,92,4020,11
62,58088,31,42755,2
68,98752,9,21420,25
25,75284,51,22452,18
44,77043,29,46648,29
44,145388,78,39001,25
51,55547,40,10516,7
38,117007,41,48327,24
47,102844,86,3396,15
50,47532,11,19546,11
45,54349,23,20129,18
64,142402,1,2591,23
50,138012,46,12303,12
22,65445,21,31561,6
65,25713,90,7183,20
36,76178,36,27572,23
21,69407,54,35080,13
52,90340,87,21695,20
66,70990,57,8314,16
34,95672,1,20623,18
61,149473,63,3139,10
45,85545,54,48456,28
47,104791,55,32290,23
46,78141,40,19088,8
63,43793,15,40692,18
23,76570,21,34130,21
52,115084,47,33088,1
58,57892,73,27292,23
54,21015,53,47249,8
41,144704,9,21670,29
46,81813,74,4738,6
66,47712,52,3469,5
63,120497,57,23534,15
48,28415,26,49874,22
52,131854,41,10017,15
50,132816,35,3808,2
69,148778,63,48638,1
38,82292,25,13713,23
49,43833,90,41329,23
40,24158,75,3719,26
50,82680,38,23890,11
20,40309,2,12700,10
35,26970,7,37509,18
42,92474,82,43534,18
59,106704,91,37766,17
48,66540,34,27705,26
20,40384,91,19787,8
57,38017,17,49845,15
63,95880,43,27588,8
41,125570,59,27123,17
67,28702,51,34062,12
49,20384,54,11177,27
64,20404,24,22727,8
39,60943,25,31220,25
40,67926,71,10882,14
19,49189,52,2136,4
44,32763,70,35832,1
59,38384,88,32966,1
19,80100,33,8009,19
43,118142,49,13987,16
34,29860,29,38311,14
57,124293,63,32575,21
50,100642,22,2007,16
26,70612,26,6445,5
60,43574,28,11706,9
65,43524,85,48517,26
56,89172,49,45486,28
46,30916,71,30257,2
59,24809,81,22736,18
43,52201,84,43207,6
52,73330,49,14281,9
67,33456,20,2435,1
42,133748,86,34339,9
41,76397,92,36150,25
30,141288,63,26821,16
24,58765,61,27660,13
53,54816,49,6084,9
62,65106,71,17661,21
37,73932,1,14507,13
18,37100,96,8059,9
25,77091,13,19271,11
63,41949,94,46539,4
33,90080,87,8491,2
31,57744,51,48295,29
29,65543,56,15859,6
68,128319,83,9073,14
40,112193,62,10077,4
32,56187,32,21953,6
45,132734,30,12383,19
51,27239,29,3353,6
19,144454,49,24821,2
49,34489,45,38567,18
40,134937,93,25860,13
39,78017,30,22195,9
68,81877,16,12939,23
42,63125,40,26338,19
39,69922,19,22730,13
39,114074,18,22427,11
66,52049,1,36196,1
69,57131,78,28083,24
59,62944,47,22510,22
23,135765,66,45064,7
32,93963,92,8813,25
60,126884,94,32598,21
54,145917,38,48182,15
50,44285,51,28570,1
25,57626,63,28082,12
61,62808,4,30241,26
61,108464,1,31678,7
22,73871,8,45569,15
56,39198,29,12745,21
21,39758,55,27029,19
23,35254,3,14025,28
62,64238,32,37124,29
49,21252,10,15288,25
69,59764,74,24650,1
47,97709,83,7540,17
64,57441,34,33232,17
52,112234,97,17422,3
57,73682,87,4342,12
69,79494,55,42846,6
33,101317,92,36612,26
30,85215,32,11396,11
67,98587,50,18482,3
59,125185,7,24411,8
47,26949,93,47766,14
36,127825,8,14261,14
34,75393,65,4093,10
36,93553,57,12722,2
45,26941,67,23042,14
43,45934,88,45413,9
54,43386,87,48851,3
43,145362,59,29087,21
40,81886,72,33347,26
26,95745,54,34756,8
29,103251,67,40214,16
18,114456,51,17335,2
18,73413,97,29602,6
64,76800,92,49901,28
51,117239,8,35450,21
49,62318,34,33196,29
65,139803,35,6626,26
42,90173,96,8424,25
57,90390,88,13857,12
62,72329,78,45923,5
18,142418,32,20982,2
