Age,Income,Credit_Score,Loan_Amount,Employment_Years,Loan_Approval
22,114634,319,7693,5,1
23,138034,429,20562,10,1
57,62431,592,11259,3,1
37,137637,431,47236,13,1
22,119245,655,9942,16,1
22,120211,353,41556,19,1
48,24837,686,5371,1,1
43,131984,564,32383,9,1
57,110025,514,28404,2,1
52,103163,759,12120,6,1
53,91232,757,10702,6,1
21,68994,342,13347,0,0
39,99079,577,40429,7,1
22,32615,429,44419,0,0
46,21466,649,30040,7,0
52,50771,843,42646,13,1
26,138645,405,42083,13,1
52,103886,300,27542,1,0
24,85911,731,47733,7,1
31,118566,605,13308,18,1
37,40746,826,44242,9,1
58,108422,352,39142,6,1
44,129884,819,49163,12,1
25,80739,629,35690,14,1
54,128440,624,12393,10,1
26,118187,413,9403,13,1
42,93369,446,8546,10,1
31,21893,465,41745,1,0
36,50573,678,33893,1,0
53,116907,438,14388,11,1
29,60874,598,46756,14,1
26,97362,575,41660,16,1
36,119956,477,28708,13,1
49,107460,653,29726,15,1
23,147021,453,19008,7,1
40,138580,500,41017,16,1
56,53367,414,5111,4,1
39,41199,367,22545,11,0
46,136600,744,45168,5,1
23,111404,744,7379,17,1
39,94328,625,35237,4,1
40,77724,658,26810,5,1
52,106133,444,46120,8,1
27,56405,574,22809,14,1
53,118232,808,13469,9,1
59,128659,478,32967,16,1
38,35989,776,14748,18,1
21,48931,713,28424,11,1
31,29290,452,25976,8,0
48,58367,403,28914,14,1
45,141136,374,35067,13,1
43,99878,427,47875,0,0
51,110477,644,17942,16,1
50,99481,830,24491,0,1
55,96298,458,9533,12,1
27,146299,837,28583,7,1
36,50133,725,42049,12,1
46,132616,322,32821,15,1
22,125686,346,35261,1,1
21,47052,824,42536,12,1
32,127286,443,34945,17,1
25,105489,718,22384,2,1
57,60475,384,33410,12,0
52,102666,715,17198,18,1
29,116622,781,34354,12,1
55,77656,755,12169,18,1
39,24633,596,45129,3,0
36,37304,411,36909,18,0
23,127573,529,8830,17,1
40,117820,395,26404,5,1
44,66546,677,32757,18,1
53,27008,455,40650,3,0
44,68291,720,38766,3,1
31,47405,404,20942,6,0
28,137069,629,37419,6,1
56,56386,738,21668,15,1
58,110909,431,21246,15,1
40,40827,681,29996,4,1
55,53040,437,8065,14,1
45,80354,569,15467,3,1
55,98543,849,49844,12,1
45,38157,695,26007,18,1
49,117693,763,7543,6,1
38,55315,749,33702,11,1
38,55932,630,33833,8,1
22,41164,552,15033,16,1
55,34414,584,39169,1,0
36,147597,573,21829,15,1
56,34327,319,9522,6,0
53,133880,538,25151,17,1
24,20946,569,40319,6,0
53,34693,717,31543,0,0
34,47241,609,42584,2,0
41,135194,330,35473,10,1
40,115790,403,12699,14,1
28,35540,485,7629,2,1
27,92255,427,45455,12,1
23,84757,509,15156,3,1
37,61203,713,22441,7,1
53,45081,580,35716,3,0
32,81861,552,11834,17,1
42,31350,318,23179,6,0
42,75512,435,31219,10,1
50,76809,522,42617,3,0
58,121894,302,20782,12,1
58,117557,535,20827,8,1
28,62832,764,14431,8,1
47,48369,527,41918,18,1
47,51728,798,49057,2,0
54,37576,820,14496,11,1
41,49001,438,28331,10,0
50,147625,575,44238,19,1
53,103384,590,28563,10,1
48,20390,352,8712,16,1
53,107535,409,33531,13,1
25,65436,303,37664,15,0
39,31569,346,17420,9,0
24,33029,393,10315,3,0
55,42490,512,10381,9,1
37,65875,735,14497,19,1
48,143552,807,34040,11,1
50,120864,504,37375,8,1
49,25867,680,18494,14,1
26,100820,372,36752,8,1
55,119515,815,30357,6,1
57,29121,375,21950,11,0
44,21539,376,20752,19,1
49,111024,709,42390,13,1
51,37027,405,9132,15,1
55,147402,775,46598,18,1
53,94229,574,33276,2,1
41,28921,387,44763,10,0
52,70435,376,25551,19,1
43,142368,376,31975,18,1
53,30310,741,7670,7,1
23,83965,839,14364,19,1
38,142033,544,31296,7,1
45,131048,681,29680,2,1
51,116444,441,23066,9,1
23,89922,667,33892,12,1
44,117799,383,15041,8,1
52,113948,442,14054,5,1
42,102839,651,16637,14,1
43,32242,844,15757,15,1
22,137027,451,46258,4,1
47,132561,457,32484,12,1
22,28947,745,17329,18,1
46,132250,602,38538,1,1
37,91466,749,32115,5,1
53,123706,523,31038,0,1
29,140351,342,41622,14,1
59,144749,563,40886,14,1
49,81816,302,14901,13,1
46,68785,567,22374,6,1
55,139963,315,37806,4,1
45,20507,633,22659,19,1
44,86972,763,28453,15,1
33,47151,358,35498,16,0
27,31618,476,9857,10,1
56,94286,362,21312,14,1
40,36122,606,6436,19,1
21,27354,545,32569,15,0
28,129598,588,29949,2,1
36,50979,631,12693,5,1
34,106436,826,42019,12,1
32,99376,554,14305,0,1
43,72774,809,37646,13,1
35,122703,762,32302,1,1
48,25037,498,15590,1,0
54,48633,570,45430,14,0
22,44495,363,8123,17,1
52,84550,529,9158,8,1
43,101384,548,13700,2,1
42,56483,545,15531,3,1
45,133181,456,32738,14,1
42,93373,387,14879,4,1
42,54069,612,10543,19,1
26,27370,365,47348,19,0
35,139873,319,23581,4,1
57,136843,332,41679,9,1
53,91947,372,18582,15,1
28,59133,642,48888,11,0
25,116035,432,35276,13,1
59,115761,354,43003,10,1
24,133753,360,9799,18,1
26,20692,819,30091,5,1
52,48926,571,33234,9,1
50,119782,545,29605,19,1
55,124700,475,41534,2,1
36,93984,616,36668,14,1
33,63390,430,9111,10,1
50,69593,401,29686,1,0
39,95609,609,12015,5,1
37,120950,591,11856,16,1
39,25209,794,21490,17,1
48,146700,660,40194,3,1
46,26533,637,19497,8,1
57,106597,309,28194,9,1
46,27211,348,49104,1,0
43,29927,786,10316,10,1
29,97463,620,43130,10,1
32,137333,432,9693,10,1
21,44594,382,46758,0,0
21,94852,356,34954,13,1
54,97713,675,26652,0,1
52,96382,648,19178,8,1
45,27933,570,48397,0,0
21,123780,782,19751,3,1
36,132157,410,5425,0,1
59,60696,375,8044,18,1
25,85449,457,16480,9,1
42,87616,831,48874,14,1
49,26089,628,43997,19,0
23,76548,421,6239,3,1
32,46123,340,11566,19,1
46,27797,466,24775,13,0
36,70013,322,41981,4,0
57,28346,578,8006,14,1
42,105414,768,12025,14,1
49,53672,699,24423,15,1
34,37653,308,44326,15,0
48,69556,312,30174,3,0
25,143723,351,31663,8,1
50,128278,508,38952,0,1
25,46140,849,32326,4,1
32,21184,701,36139,8,0
36,143626,490,13102,19,1
46,54493,350,12116,4,0
46,64148,692,17937,3,1
41,44846,599,35161,15,1
59,131361,495,9383,1,1
56,42195,716,25320,15,1
53,25606,719,9507,17,1
50,23956,821,19735,1,1
57,36555,655,34713,15,1
43,110385,447,21519,0,1
30,38690,664,7025,15,1
25,78502,663,24919,2,1
56,144586,701,42622,14,1
54,68849,791,43135,10,1
51,46347,528,40658,9,0
30,118725,836,24141,16,1
39,123844,567,34696,3,1
52,111321,704,8773,16,1
21,69056,310,29956,3,0
25,83851,619,20819,18,1
24,118234,425,6528,0,1
36,101502,605,25955,13,1
44,116633,810,49588,10,1
36,101418,388,10049,6,1
22,90211,654,38616,16,1
48,61850,651,25511,3,1
52,98545,313,15119,9,1
47,47843,556,15357,16,1
40,82320,508,21167,3,1
44,49793,580,27253,18,1
32,59516,742,39889,17,1
55,124407,688,34798,16,1
53,149045,782,9681,5,1
53,37857,446,19755,6,0
57,39627,578,5472,5,1
32,81822,820,37881,11,1
23,104101,733,18690,8,1
21,111561,443,30912,17,1
53,72248,588,11473,1,1
30,75798,685,46298,16,1
49,113368,313,23669,0,1
33,64116,556,38964,8,1
32,95318,645,21462,5,1
51,124186,644,25943,1,1
22,147119,699,43785,5,1
55,107902,506,40420,8,1
43,48557,471,15832,2,0
37,91334,763,10385,15,1
46,95163,569,35362,14,1
28,126719,520,19708,11,1
49,143099,451,28438,7,1
46,98002,482,22211,5,1
30,62614,698,19571,2,1
46,32720,371,26307,3,0
54,77608,717,16002,9,1
27,127449,582,41153,13,1
24,122828,373,27440,14,1
31,146613,654,6965,6,1
49,92095,796,37556,6,1
56,125924,627,7427,7,1
45,104694,834,40609,9,1
41,116452,746,30189,18,1
56,107593,672,30138,18,1
30,55892,661,11563,1,1
57,126975,392,19387,14,1
29,97242,620,10840,0,1
44,136041,623,20154,9,1
55,146202,683,29194,5,1
55,97606,645,27448,12,1
56,143769,402,35924,9,1
38,138542,514,28528,11,1
59,126438,491,34402,5,1
52,20924,493,9352,5,0
44,71322,679,5184,0,1
43,46478,702,15384,11,1
52,91042,310,19319,9,1
57,66418,486,25449,13,1
32,82217,314,46205,14,0
33,120699,596,15426,3,1
43,110140,710,12504,0,1
45,100846,351,38368,7,1
55,93762,327,45572,2,0
50,31781,316,43305,13,0
37,25515,650,37094,16,1
40,137358,727,19685,1,1
45,56133,528,13724,14,1
42,102508,509,10084,5,1
33,117628,730,39810,4,1
39,96946,593,21741,13,1
56,105058,403,21761,18,1
32,29095,503,18336,8,0
39,108583,352,25872,7,1
32,40470,674,18414,2,1
29,63129,353,9797,17,1
27,28531,575,8307,7,1
48,57038,634,37568,15,1
34,107939,330,7596,14,1
51,62674,434,22167,14,1
39,147572,357,27308,15,1
36,114658,404,29215,0,1
25,102476,565,16795,9,1
55,49831,821,19984,18,1
32,77174,795,17134,4,1
45,31279,552,15782,17,1
41,58220,594,47002,2,0
56,80610,457,26651,3,1
43,72719,848,29022,3,1
36,144936,366,23922,10,1
59,73051,598,19618,8,1
59,92013,762,22245,0,1
34,76652,400,23260,15,1
51,85524,355,15027,8,1
25,102936,631,18986,10,1
55,26470,692,8526,5,1
43,87598,680,31261,16,1
49,61798,391,49361,11,0
31,144517,746,6622,7,1
38,73473,408,43286,15,1
32,39880,616,34533,4,0
29,120117,467,40425,0,1
30,64439,734,23316,16,1
37,140944,741,13699,7,1
58,34308,517,18955,9,1
27,111563,521,36543,17,1
33,116256,827,40424,14,1
29,55081,577,21673,19,1
47,95242,765,28395,12,1
22,70383,329,43626,9,0
25,29837,658,28707,8,1
49,124135,587,24213,12,1
57,72151,385,15401,2,1
58,138128,533,26196,2,1
39,56824,612,30976,0,0
28,53073,664,13758,1,1
21,132651,568,6473,10,1
42,117624,430,18281,13,1
37,113648,650,37548,9,1
27,46299,479,23371,6,0
45,119993,779,33363,0,1
24,78861,462,17057,6,1
56,50063,395,45441,14,0
26,89453,809,24644,10,1
51,141768,664,33123,5,1
39,143299,652,28874,6,1
59,88472,735,28123,6,1
47,122166,382,19281,0,1
30,34506,524,8251,9,1
46,114341,711,27289,14,1
39,99854,417,10054,7,1
59,133604,781,39484,18,1
23,46026,491,46972,2,0
33,47672,406,6310,14,1
48,58417,681,34146,3,1
40,72413,689,34312,5,1
48,144044,543,35981,9,1
28,85066,767,9257,17,1
59,79213,837,20846,15,1
21,70971,509,27483,17,1
23,47281,372,31558,5,0
33,133978,608,48188,18,1
48,48091,485,18012,16,1
45,70494,552,38236,17,1
53,123864,312,43673,12,1
58,133755,598,33931,6,1
26,38610,375,37076,19,0
52,21079,350,19801,11,0
41,115386,448,14628,1,1
36,66751,421,13728,11,1
41,106126,510,22335,11,1
31,75432,579,48773,3,0
57,50951,837,33570,3,1
56,100863,455,27459,17,1
55,98291,537,45658,15,1
39,145659,675,12077,13,1
40,79872,381,6971,16,1
38,27235,791,38959,16,1
34,102733,655,45533,2,1
35,82712,572,48022,5,0
51,41473,343,8046,12,1
21,87567,422,49518,8,0
23,126818,648,17703,8,1
36,145849,629,13043,7,1
43,127399,708,42676,16,1
31,144421,622,48395,15,1
32,99823,410,7804,15,1
30,124215,388,15176,18,1
52,129999,732,8936,15,1
36,52230,398,36174,13,0
28,104573,838,22096,19,1
58,112588,445,28232,13,1
32,88876,556,47641,13,1
44,60644,488,30909,13,1
48,68664,539,49158,11,0
28,65203,802,13366,5,1
48,86677,570,24589,19,1
56,45425,819,11506,12,1
46,143246,849,33842,15,1
28,104817,413,22458,8,1
48,127585,638,26831,1,1
48,105961,658,13783,2,1
57,120342,633,16170,9,1
56,145740,468,19609,19,1
47,117649,638,45090,1,1
37,89806,560,49942,9,1
29,62814,498,28035,7,1
53,90219,510,21208,16,1
40,69646,586,40178,0,0
33,59884,771,18636,5,1
48,115345,781,14039,6,1
49,146062,322,19990,14,1
33,120088,408,11441,17,1
55,138198,595,13685,8,1
26,89322,305,18778,7,1
38,41650,849,31862,9,1
25,114242,502,32273,3,1
45,29190,624,33413,19,1
22,58196,543,47500,7,0
30,59449,626,8956,0,1
50,59661,346,11553,7,1
25,49709,312,28253,11,0
53,130965,679,28915,14,1
21,100428,664,7365,12,1
38,95179,641,11668,15,1
52,29943,520,10000,17,1
31,63240,372,8675,0,1
41,65760,345,17907,16,1
46,41042,803,22336,15,1
45,141770,573,24684,4,1
42,63894,507,33311,19,1
47,26869,423,20136,9,0
33,81078,309,48923,5,0
53,76759,628,17219,11,1
54,125973,486,8247,9,1
55,64306,842,9415,16,1
21,128369,359,11472,1,1
41,75371,741,27380,18,1
26,40918,516,42616,19,0
48,48379,301,32280,5,0
37,140667,835,26859,12,1
25,128475,655,38805,8,1
51,110810,464,13262,11,1
25,103232,390,16066,17,1
58,22962,466,20554,7,0
23,33851,506,12008,17,1
43,137626,581,27315,1,1
57,65747,364,20263,7,1
57,145180,815,21238,9,1
30,72349,456,43410,8,0
30,90832,605,21489,17,1
39,76356,694,22153,7,1
37,34745,373,48152,18,0
41,25730,486,29283,2,0
34,33921,636,16687,8,1
29,118430,539,27998,12,1
21,91138,832,33887,8,1
33,103111,440,9355,19,1
24,39023,564,38701,11,0
21,65349,438,46534,12,0
52,146796,758,10906,7,1
54,101533,369,17572,14,1
48,103286,684,17279,12,1
51,61979,497,48491,12,0
28,42837,504,15611,16,1
59,34997,730,13261,14,1
46,124975,624,9474,18,1
54,108603,741,30878,2,1
23,65039,587,33390,13,1
32,147394,525,31925,9,1
21,40923,363,21638,16,1
25,28876,797,28471,7,1
50,80973,359,9787,17,1
50,22887,696,12862,11,1
37,83723,556,48724,16,1
43,62422,538,15663,10,1
35,122390,337,21120,8,1
57,71413,324,27740,14,1
41,122484,709,41510,8,1
34,22841,760,7035,11,1
22,144647,716,39735,10,1
31,48756,656,6852,16,1
59,91576,682,48315,5,1
58,138248,457,44386,7,1
54,30304,732,13303,9,1
58,50341,347,49118,14,0
54,24758,627,5164,3,1
38,37010,732,44726,17,1
50,147039,730,39905,10,1
35,80758,355,15215,8,1
47,51658,567,35694,8,0
54,69002,368,36253,7,0
58,123318,748,29230,2,1
53,21375,556,21925,17,1
44,119485,789,11033,13,1
35,42092,348,7665,2,0
50,20490,615,32025,16,1
37,23729,712,28533,3,0
25,25974,733,17125,17,1
49,138222,301,25998,14,1
24,105216,444,43957,18,1
30,103860,665,28057,5,1
37,147288,719,18708,14,1
30,116870,743,23072,6,1
37,41398,733,10095,11,1
40,54650,356,36495,15,0
44,41292,477,45351,8,0
25,121291,592,6637,19,1
54,123889,345,19670,4,1
26,23159,469,43734,10,0
22,118162,570,42438,1,1
33,82766,716,33658,15,1
31,114887,438,10203,3,1
43,122834,546,26518,4,1
36,37065,447,13669,6,0
51,41638,529,7366,5,1
31,21073,673,23910,9,1
36,66511,379,36087,13,0
28,104307,364,5366,7,1
24,145274,387,14907,13,1
24,120997,387,44374,13,1
45,127866,503,35289,19,1
23,49320,681,37780,2,0
52,89876,775,24623,0,1
23,54924,838,40085,8,1
47,101720,513,25426,8,1
49,60734,373,12485,1,0
52,88116,360,38024,15,1
39,60025,842,30469,7,1
41,114503,518,20903,5,1
25,22159,311,8212,12,0
38,68940,714,43943,0,0
48,99436,331,32799,18,1
42,96976,459,21087,14,1
41,34678,536,12446,0,0
26,81075,480,34281,9,1
21,67204,640,19877,0,1
25,32021,757,29723,11,1
32,26772,379,17943,10,0
46,87163,772,15306,16,1
54,129968,411,41784,3,1
34,93755,591,25455,6,1
46,43464,682,29491,11,1
47,71137,316,10912,12,1
29,50232,792,34974,4,1
46,81497,630,32371,5,1
42,128017,785,38210,1,1
50,94024,705,40712,6,1
37,120485,416,8936,13,1
46,129898,414,38166,13,1
56,71448,848,30727,9,1
21,125468,846,33368,3,1
28,104517,635,7995,2,1
55,20901,635,44097,13,0
35,107980,446,39984,5,1
42,127594,421,49291,14,1
34,103597,380,31563,7,1
46,22881,674,27150,4,0
48,49863,362,27061,2,0
43,131362,803,34178,2,1
34,25622,748,40336,12,1
44,142740,727,5160,1,1
22,21378,726,20648,0,0
46,103168,720,45835,11,1
34,113847,621,41672,7,1
27,91186,465,8573,18,1
23,65201,760,39593,8,1
43,140767,758,18786,13,1
38,127760,488,33500,17,1
58,79251,763,14815,9,1
55,92572,678,26966,8,1
35,59255,301,18794,5,0
45,83212,663,36423,0,1
57,70210,371,38944,4,0
48,145629,726,26302,9,1
30,136736,469,26264,12,1
59,42499,504,24604,3,0
37,122552,636,32835,0,1
59,71628,771,12820,1,1
42,81360,494,6499,3,1
46,24603,574,28814,16,1
45,113309,306,29089,9,1
37,147466,477,12626,11,1
33,105473,541,37746,1,1
40,32632,502,21137,2,0
45,50607,842,26260,13,1
24,111873,761,41476,14,1
30,85756,379,31283,12,1
23,66994,822,6769,8,1
38,83382,716,47278,1,1
56,90354,683,20634,18,1
42,76344,690,44499,15,1
54,73775,425,15965,10,1
28,27349,793,32566,11,1
39,91154,346,38143,0,0
57,47464,775,24420,1,1
26,62624,763,30236,15,1
46,141897,422,11218,1,1
54,146866,773,13495,18,1
26,57344,433,38853,9,0
57,145857,322,18073,18,1
53,103791,534,16371,9,1
42,44299,358,22594,15,1
41,67975,463,16226,12,1
26,21462,515,15046,15,1
26,140209,482,48809,17,1
24,101441,389,42117,7,1
50,110456,610,9965,17,1
31,101788,556,18336,12,1
50,126540,832,24843,6,1
51,60581,832,22373,17,1
44,120372,351,11654,5,1
29,91289,637,36280,8,1
23,125541,470,45110,5,1
51,34175,366,27407,17,0
57,141704,599,7358,16,1
56,26191,531,31583,11,0
44,103434,367,33706,2,1
51,104518,805,11360,4,1
26,100158,327,8743,6,1
22,86537,350,12159,9,1
40,135721,559,37151,9,1
48,67645,483,5518,18,1
31,128536,322,21652,3,1
24,43283,428,17925,9,1
35,143153,590,10475,17,1
26,106971,800,41953,2,1
50,112759,485,42929,2,1
58,79123,778,47348,4,1
22,122780,791,14886,15,1
35,50024,812,16465,19,1
31,69630,366,16221,12,1
28,50734,766,29395,10,1
46,20515,584,7335,12,1
25,130782,716,41442,18,1
26,86727,399,9576,5,1
46,117800,488,5500,12,1
24,129164,687,31675,3,1
39,66216,540,13083,4,1
40,91833,716,46062,18,1
53,78755,475,20720,4,1
40,47856,686,10543,13,1
32,134959,770,8276,3,1
21,93870,532,35635,11,1
46,44162,751,29180,5,1
34,26008,576,11613,18,1
58,27987,528,49497,9,0
57,82532,470,6327,0,1
31,116502,512,45540,15,1
56,23332,581,15666,3,0
33,86323,340,31255,8,1
23,58990,421,25130,17,1
53,29873,526,27068,16,1
26,102542,593,23946,14,1
30,105761,566,25547,18,1
25,56444,840,24701,6,1
43,55340,750,10769,17,1
30,125219,748,29883,5,1
22,25033,360,18663,18,1
33,93324,801,43686,11,1
22,35689,446,42323,2,0
40,129756,633,40162,0,1
21,107134,441,27852,4,1
57,123016,343,25388,0,1
29,115239,443,38434,7,1
37,20066,632,27102,6,0
29,134159,796,26536,14,1
31,65246,695,17355,10,1
35,27533,354,7234,17,1
44,100639,606,44103,13,1
58,90152,722,36147,8,1
55,131581,716,28659,4,1
50,135828,624,49271,3,1
51,79658,379,44127,11,0
25,58498,330,21560,0,0
34,129028,411,28088,12,1
31,31772,771,7928,0,1
29,109385,373,45385,2,0
54,69036,778,45382,7,1
32,78531,686,33184,17,1
55,139159,732,25099,15,1
55,32940,711,9274,19,1
21,138027,766,29970,19,1
42,36932,547,30744,15,1
49,115305,419,42739,1,0
28,76827,366,13389,16,1
31,81431,626,22352,9,1
57,44648,769,26148,6,1
34,132947,792,36828,9,1
50,52966,585,7504,18,1
55,47777,611,43774,19,1
41,144661,608,33743,8,1
57,52567,396,33894,16,1
25,135259,412,35995,8,1
39,37174,755,45711,8,0
34,62598,762,22748,4,1
46,144711,431,28100,6,1
24,79199,420,38691,10,1
45,33798,496,27981,7,0
45,85364,781,37708,13,1
38,37558,338,15246,1,0
28,81084,811,37486,9,1
59,64237,773,35340,15,1
34,85497,460,24338,15,1
52,20178,588,8086,18,1
58,136932,499,30535,10,1
53,106006,827,19860,5,1
43,37118,802,22013,5,1
35,42616,547,12407,6,1
53,20798,682,38542,15,1
45,27601,517,29935,12,0
37,45363,386,46477,2,0
53,22795,381,39111,8,0
22,117462,361,15161,2,1
34,65264,799,28581,5,1
59,122892,341,37277,16,1
26,92833,311,26400,2,0
26,149688,414,16419,1,1
23,23084,517,45565,11,0
27,115865,405,24283,5,1
28,96646,827,5934,9,1
35,20731,771,39754,10,0
49,21129,686,26380,15,1
53,48022,525,19016,15,1
50,21605,780,43233,17,1
59,97506,707,27695,8,1
47,129241,756,29952,18,1
56,64130,320,47734,1,0
49,49265,502,20721,0,0
58,52330,716,6505,15,1
53,88469,715,10363,17,1
57,35187,747,48614,2,0
47,45791,811,6010,0,1
53,110436,384,24861,5,1
24,90610,466,29125,18,1
42,132341,683,14369,18,1
22,111962,767,8857,10,1
30,59867,371,31671,7,0
25,136178,820,14864,4,1
30,20893,772,37490,19,1
53,119694,557,15120,8,1
58,39773,574,25223,14,1
33,24239,319,37150,13,0
51,40863,789,49138,3,0
56,71415,789,7553,7,1
44,88968,625,20489,19,1
35,120675,828,9389,16,1
49,80430,388,26950,1,0
28,139000,785,16089,19,1
25,21515,649,46999,15,0
49,117206,383,8051,9,1
24,134210,686,43090,1,1
32,124630,386,33805,10,1
22,34605,606,34442,9,0
47,76240,453,49557,18,1
51,25586,739,7555,13,1
56,121221,563,17767,10,1
56,140419,720,5458,8,1
46,142374,792,21066,6,1
47,134205,710,9721,14,1
25,51186,472,17446,19,1
40,46928,303,11304,16,1
31,118264,771,47967,2,1
30,103087,409,39688,14,1
58,142990,336,18227,13,1
26,107029,330,45462,7,0
28,40711,680,11298,3,1
43,74962,567,44397,9,1
46,40039,310,42914,1,0
32,56561,643,15306,13,1
46,95483,843,7589,7,1
33,117871,465,42078,9,1
38,101395,641,40009,17,1
45,108658,781,18601,14,1
53,21577,318,12711,4,0
32,127792,483,26364,12,1
56,48350,844,38706,17,1
24,136908,309,34610,1,1
25,127468,491,42069,12,1
57,53798,619,8970,13,1
28,117434,774,8999,9,1
48,101417,726,26034,3,1
51,30785,358,41176,14,0
29,92227,735,46730,7,1
49,138680,396,21632,14,1
34,81957,795,18385,13,1
42,85431,577,10950,8,1
31,37297,564,40694,19,1
43,91894,308,12975,2,1
21,136869,756,26314,14,1
57,83772,572,28398,16,1
41,39581,307,30277,15,0
46,75192,507,31761,3,1
56,21462,422,36533,10,0
43,148848,332,11966,7,1
21,84173,812,46901,2,1
35,35511,503,11587,18,1
41,96106,817,27880,13,1
29,68665,816,10091,8,1
29,64414,742,46753,2,0
30,101010,638,36130,3,1
46,92573,737,22061,3,1
55,113665,744,27293,10,1
45,127803,435,6561,18,1
46,139682,686,46412,15,1
