traffic_density,avg_speed,air_quality_index,pm25,pm10,noise_level,temperature,humidity,energy_consumption,water_usage,street_light_usage,parking_occupancy,public_transport_load,cctv_alerts,waste_fill_level,rainfall,wind_speed,co2_level,pedestrian_count,internet_usage
177.55,51.59,74.36,-39.7,46.81,86.12,34.83,61.82,699.11,719.36,270.96,114.44,506.7,7.62,33.17,21.28,14.21,593.19,265.69,779.55
117.66,92.62,79.26,1.79,-25.77,-34.19,13.51,54.22,464.18,530.02,349.01,97.25,806.01,-1.57,30.32,-16.52,6.67,656.12,403.12,792.15
128.73,-8.16,282.81,272.84,46.92,39.12,13.03,27.64,1311.7,246.85,331.1,-6.74,1491.97,14.43,218.99,-55.72,-6.21,-91.19,-165.95,1023.87
108.16,86.94,47.94,65.85,-48.04,-51.87,10.38,47.47,807.33,396.77,367.56,33.97,837.57,-4.19,45.96,-15.66,2.89,315.9,569.5,744.32
175.15,40.21,25.62,30.17,44.9,101.5,34.79,53.78,980.84,640.07,295.17,60.27,315.63,7.16,43.72,39.92,14.67,277.46,222.15,868.03
298.4,28.08,-69.72,51.03,-80.17,127.7,51.42,50.38,1267.02,657.42,254.61,80.43,335.19,8.79,13.17,103.09,25.27,-56.22,678.83,907.8
125.97,69.09,-44.66,58.25,82.88,72.47,24.57,51.8,1164.95,565.31,303.29,-1.87,-24.91,-3.87,28.72,51.34,14.44,77.31,379.63,1047.98
112.71,-29.09,162.3,159.45,36.0,83.34,29.13,53.13,1389.85,455.34,307.62,-43.34,863.98,13.27,122.88,1.14,-0.02,0.75,284.05,298.78
260.5,10.53,122.46,75.8,42.07,168.19,43.93,49.33,1178.85,694.03,228.21,108.22,572.14,19.59,103.59,33.47,19.77,134.66,32.52,1058.86
110.66,39.99,128.09,-34.72,55.8,39.5,23.74,61.89,431.73,707.47,289.67,114.19,684.5,5.83,68.95,-25.36,5.74,955.11,63.01,577.8
140.86,111.34,181.37,7.14,194.17,86.79,9.23,40.01,314.32,615.2,259.78,152.99,568.94,9.28,116.46,-61.97,14.6,853.66,-648.0,1474.71
80.72,14.85,184.42,6.38,-96.94,-56.68,20.48,65.65,539.39,582.33,318.72,61.73,1335.09,3.83,62.97,-34.21,-3.62,838.86,486.31,189.0
28.62,57.5,106.17,59.29,116.53,17.21,7.33,53.11,878.23,503.55,351.82,-8.86,364.34,-1.05,70.65,-14.52,-0.55,412.19,395.94,629.86
-8.18,42.42,7.52,-108.4,284.03,162.49,29.71,79.17,1013.46,987.6,267.31,20.62,-825.56,6.05,7.84,59.45,14.85,830.42,298.68,587.8
-43.19,22.58,39.04,-5.37,140.18,25.26,14.47,68.99,1055.43,657.65,335.64,-60.02,-46.47,-3.35,35.55,19.43,-0.19,629.55,765.82,94.16
268.51,61.64,17.95,21.71,-58.96,83.57,37.46,49.28,791.87,618.32,274.72,134.11,772.1,5.85,43.76,33.46,17.72,314.62,214.88,1066.3
105.13,81.43,22.39,3.87,82.56,46.65,21.13,58.08,795.72,590.89,326.35,50.55,26.41,-0.25,25.07,20.5,11.6,460.08,358.49,810.81
146.37,-54.44,113.1,250.95,-147.84,17.13,31.03,48.4,1721.07,332.57,345.07,-100.55,1298.12,7.81,106.16,23.16,-7.76,-441.43,933.54,288.93
79.56,-33.33,230.36,-7.95,44.02,71.03,33.26,70.88,746.57,803.85,223.07,88.76,775.43,14.8,97.09,-19.22,1.82,965.76,318.42,274.18
147.76,75.28,144.33,7.41,145.16,86.02,20.62,47.34,629.13,648.08,275.18,133.8,406.1,9.05,98.97,-27.71,11.93,609.21,-299.98,1148.03
62.69,44.55,147.07,85.21,48.74,-4.94,10.58,47.29,796.67,502.0,306.58,35.91,833.43,3.56,102.9,-37.94,-0.75,429.93,217.66,700.85
164.73,10.64,195.17,28.11,27.96,62.45,28.27,55.35,669.36,672.64,259.73,113.96,1039.92,16.06,110.88,-31.3,4.14,629.94,-43.12,659.49
38.17,96.43,28.98,12.99,80.49,-7.3,6.35,54.86,717.81,508.89,362.24,17.46,323.12,-7.89,27.38,-0.69,2.68,478.24,390.21,735.99
96.86,40.37,151.93,152.65,-4.69,-27.45,9.06,38.09,956.19,337.06,346.23,21.74,1031.95,1.79,123.91,-40.85,-0.93,166.51,215.88,810.05
74.82,73.0,65.66,13.74,73.64,10.27,16.52,55.72,755.05,546.85,312.65,32.56,356.54,-0.88,54.48,6.75,5.16,457.37,248.74,671.16
82.38,170.33,78.79,-68.21,172.67,9.49,-2.31,46.18,68.51,599.82,327.42,154.11,198.97,-7.22,58.46,-52.48,12.32,1009.51,-299.69,1376.17
57.89,7.68,206.3,99.42,4.73,-9.17,12.08,51.3,841.84,475.48,358.85,23.53,1090.24,5.49,94.07,-39.96,-6.47,448.22,332.39,347.6
162.93,-5.15,103.22,90.29,54.47,111.98,34.69,52.91,1248.53,657.07,249.45,49.27,601.12,15.46,113.22,20.27,10.38,208.27,276.25,729.84
152.13,52.93,111.96,-31.68,112.93,98.06,28.69,56.75,673.97,739.0,234.53,138.1,299.41,9.28,65.1,3.86,12.1,839.57,1.08,968.42
77.3,-10.27,104.14,15.11,17.0,51.2,32.21,67.95,1005.43,712.31,302.01,-3.82,568.75,8.38,42.84,19.55,4.61,592.77,583.85,187.45
152.71,31.36,30.15,-39.73,169.06,173.95,40.57,63.54,925.22,848.84,243.18,105.4,-67.57,14.42,46.26,53.3,20.88,503.51,69.38,883.68
65.13,41.47,16.61,93.68,-89.08,-46.84,16.22,52.02,1088.64,414.95,351.65,-50.4,704.85,-8.4,32.07,14.6,-2.78,70.46,893.56,227.82
76.22,29.41,144.56,-51.31,78.77,68.55,27.7,67.91,665.12,752.06,286.68,78.92,402.75,9.09,63.81,3.68,8.22,833.73,207.51,394.03
54.75,88.25,24.11,101.05,18.49,-26.03,5.0,43.78,923.15,354.71,388.78,-29.52,492.63,-10.16,41.49,-4.91,0.05,171.8,487.46,803.45
93.39,36.75,84.67,-15.34,47.96,37.98,22.74,62.39,817.23,693.58,311.68,64.2,425.06,4.04,34.83,6.96,7.7,694.65,396.47,464.66
167.03,37.9,195.7,208.52,-39.97,-10.05,9.83,29.01,995.29,276.28,345.83,36.17,1541.75,5.16,172.95,-53.17,-0.97,-65.11,-129.28,1097.79
67.42,110.03,170.72,-18.18,99.19,-8.37,-0.66,48.96,137.3,578.09,315.94,136.17,725.58,-3.42,95.39,-75.77,4.43,943.13,-371.27,1034.81
70.71,37.03,55.21,-111.17,227.94,154.57,32.16,76.05,818.6,950.09,248.66,78.46,-380.3,11.19,22.12,37.45,16.21,943.52,124.66,509.23
161.66,51.51,132.74,72.69,-88.46,-17.55,17.23,45.6,652.45,426.39,324.16,94.46,1223.67,2.15,68.72,-32.89,2.47,448.75,355.0,735.64
51.7,108.08,213.62,39.82,251.76,53.33,-2.33,38.07,416.74,553.89,318.16,114.17,413.38,4.38,137.58,-62.41,5.08,730.9,-484.6,1412.69
250.15,-43.59,237.8,137.2,-24.61,142.07,41.14,47.15,1098.5,621.97,210.88,115.61,1422.21,25.07,162.39,-15.06,10.02,267.16,-165.43,866.47
111.68,-22.6,206.5,-32.41,87.17,109.54,36.65,69.62,774.12,823.24,227.0,99.66,634.32,17.82,86.34,-7.6,6.4,870.07,244.26,360.02
199.25,53.53,97.0,51.77,73.99,117.4,30.44,44.67,821.48,625.27,258.43,112.63,382.39,11.77,82.66,11.61,15.95,272.34,-115.06,1237.6
178.61,142.23,112.79,-29.73,248.53,129.63,12.94,36.72,403.48,680.3,257.55,195.24,-33.53,6.03,91.96,-20.1,24.41,615.19,-826.35,1851.95
28.86,75.67,149.87,39.94,64.4,-27.6,0.98,50.96,593.08,466.07,359.61,26.32,664.73,-4.33,69.68,-46.65,-1.14,559.68,271.14,686.96
84.17,175.65,-54.18,108.47,15.88,-68.52,-6.71,28.14,743.71,224.11,437.91,1.17,414.89,-23.12,23.08,-0.51,6.55,-16.85,374.58,1264.9
232.45,120.83,21.05,-47.12,28.37,63.45,24.64,46.86,356.15,663.21,276.19,196.71,529.18,0.88,35.25,-0.89,21.82,650.05,-89.24,1241.06
216.25,-0.84,306.53,69.51,182.54,195.57,32.47,45.85,792.86,762.15,194.42,182.02,751.16,29.98,201.76,-41.95,15.71,650.01,-767.44,1252.07
-19.21,23.15,-86.73,16.48,32.77,25.75,24.55,70.72,1432.27,586.71,374.48,-123.35,-227.92,-10.39,-33.28,85.81,0.32,153.64,1177.3,-30.11
53.64,102.75,-60.92,-111.49,192.16,101.16,21.53,62.86,583.85,835.44,285.19,74.03,-541.96,-2.67,-10.07,48.2,17.92,714.86,251.57,911.92
70.75,74.43,-56.33,-45.43,71.81,41.69,24.76,62.19,906.46,697.41,291.96,15.4,-252.15,-6.08,-22.81,48.28,11.06,430.15,656.41,604.62
31.53,96.29,26.34,-27.24,131.39,25.69,9.35,58.41,676.37,583.08,342.85,49.18,-4.32,-7.14,31.74,3.57,8.0,639.2,335.88,676.0
60.76,23.6,47.26,-86.28,110.57,98.07,34.2,75.45,869.25,853.42,276.3,43.96,-90.63,6.82,10.69,36.39,10.44,854.98,478.31,198.43
171.67,146.56,-84.25,33.15,63.67,39.23,15.25,40.66,765.74,464.1,320.4,56.59,71.26,-9.88,20.16,37.59,16.4,158.25,243.49,1382.42
88.99,6.85,58.67,33.29,-47.18,14.39,28.81,64.15,1080.16,580.83,337.44,7.71,596.79,0.32,26.87,29.35,1.17,439.49,744.64,191.77
225.12,88.67,266.87,21.23,295.4,220.56,22.08,35.41,506.71,695.27,197.64,231.41,361.52,26.27,184.56,-46.52,24.03,659.44,-1176.06,2037.06
135.07,152.09,252.77,89.76,132.92,-14.33,-9.05,24.78,92.11,319.23,337.4,174.74,1179.16,0.03,178.77,-116.7,5.79,564.17,-878.01,1740.95
119.07,87.7,66.65,-92.45,214.14,141.79,28.6,62.91,658.67,829.05,250.7,128.71,-155.64,7.56,41.83,16.61,21.26,873.64,-185.83,1063.25
103.46,60.77,271.44,-0.69,270.48,125.16,10.76,45.45,423.62,748.96,225.72,161.51,655.87,17.01,160.57,-68.88,8.02,929.02,-777.14,1435.61
41.66,5.97,35.0,161.45,-30.08,-7.43,17.49,53.05,1476.73,357.35,370.03,-114.39,627.5,-2.19,75.2,25.62,-2.91,-90.03,879.17,382.99
167.48,30.31,-10.78,-49.6,39.25,104.51,42.08,67.84,902.67,808.4,273.29,77.57,86.78,8.07,3.66,53.81,16.67,555.02,589.0,520.61
